subestacion,provincia,municipio,nombre_del_gestor,utm_x,utm_y,distancia_a2_km,pk_centro_tramo_a2,capacidad_disponible_mw,nivel_de_tension_kv
SEC_EPILA,Zaragoza,Épila,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,650014.47,4601769.53,0.055813755155394246,292.5555,0.0,45
GALLEGO,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,679036.22,4616196.78,0.05739219327395628,323.75,0.0,45
ALCALA II,Madrid,Alcalá de Henares,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",472918.34,4484520.59,0.07848311352187677,34.7,0.0,132
EL COTO,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",445438.5,4477920.68,0.08094974648648577,8.0,0.0,15
LA_ALMUNIA,Zaragoza,"Almunia de Doña Godina, La",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,636994.39,4594597.52,0.09183885766362306,273.5,0.0,132
LA_MUELA,Zaragoza,"Muela, La",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,659023.4,4605646.45,0.1078467878645969,303.7395,0.0,45
GLORIA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,683084.63,4614722.97,0.11339067975387522,328.7,0.0,45
ST ALCALA,Madrid,Alcalá de Henares,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",468127.95,4483398.58,0.11480736886232942,29.55,0.0,132
SAN FERNANDO,Madrid,Coslada,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",454660.77,4477316.1,0.13747516923194156,15.8,0.0,45
PLAZA,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,666813.86,4610632.17,0.18804784889175202,310.75,0.0,132
SEO,Barcelona,Martorell,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,910141.69,4605653.58,0.1903728953428235,585.7,0.0,110
MALPICA,Zaragoza,"Puebla de Alfindén, La",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,685967.84,4612901.5,0.239513720812027,334.85,0.0,132
SE EL SABINAR,Zaragoza,Épila,HIDROCANTÁBRICO DISTRIBUCIÓN ELÉCTRICA S.A.U,649697.0,4601957.2,0.24102537554914338,292.5555,0.0,132
PUENTE DE SAN FERNANDO,Madrid,San Fernando de Henares,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",456397.7,4477786.66,0.2517061461512429,17.266,0.0,45
CALATAYUD,Zaragoza,Calatayud,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,613606.12,4576461.09,0.2536163964019381,234.6,0.0,132
ST TALES MILETO,Madrid,Alcalá de Henares,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",466670.32,4482477.82,0.25827513286048526,29.55,0.0,132
ARIZA,Zaragoza,Ariza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,579952.94,4574078.22,0.25962522724287057,196.15,0.0,45
SEC_CABLEN,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,685071.54,4613765.5,0.2624102609475919,334.85,0.0,45
ARCOS DEL JALON,Soria,Arcos de Jalón,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",559710.71,4562277.86,0.2668297299946472,161.7,0.0,66
FRAGA,Huesca,Fraga,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,777217.43,4600892.72,0.2747279124194509,434.45,0.0,110
R.BUBIERCA,Zaragoza,Bubierca,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,595808.52,4574614.78,0.32871965942251075,214.05,0.0,45
CASTELLBIS,Barcelona,Castellbisbal,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,916566.82,4600236.47,0.33825134618821523,594.75,10.26,25
CERVERA,Lleida,Cervera,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,857171.03,4623213.23,0.3419592491909558,522.0,0.0,110
FUENTE LA NIÑA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",486424.95,4496421.3,0.36435835022398977,56.4025,0.0,132
JARANDIN,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,679923.12,4615696.05,0.3792156258452765,326.0,0.0,45
PLFRAGA,Huesca,Fraga,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,783340.66,4603595.38,0.393329335613614,440.5,0.0,110
ATECA,Zaragoza,Ateca,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,601122.39,4575467.55,0.3961908273702546,221.9,0.0,45
ARAGON,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",452925.56,4477340.35,0.4226153842037858,12.45,0.0,45
EXPO,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,674847.17,4615959.66,0.4487877126929943,319.8,0.0,132
REJAS,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",453092.89,4478227.69,0.47930986077564064,12.45,0.0,45
REN.F.MUES,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,667433.85,4610088.31,0.5444946677745655,310.75,0.0,45
MEDIAVEGA,Zaragoza,Calatayud,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,615194.94,4579153.46,0.5584747428329243,234.6,0.0,45
BELL-LLOC,Lleida,Bell-lloc d'Urgell,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,814590.75,4617216.09,0.597913193312752,473.9,0.0,110
ARCOSUR,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,669545.88,4611392.85,0.6208164452208377,313.45,0.0,132
ABRERA,Barcelona,Abrera,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,908521.03,4606693.55,0.6607039201320654,583.3,0.0,25
F_MUESTRAS,Zaragoza,Zaragoza,EDISTRIBUCIÓN REDES DIGITALES S.L.U.,668182.65,4610245.2,0.6700971977029165,310.75,0.0,45
HOSPITALET,Barcelona,"Hospitalet de Llobregat, L'",EDISTRIBUCIÓN REDES DIGITALES S.L.U.,926700.89,4589786.2,0.6901168139566954,609.895,0.0,110
ST ALOVERA,Guadalajara,Alovera,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",479370.58,4492555.01,0.7659867079704581,45.65,0.0,132
