CODESTA,CLAVE,CARRETERA,PK,ID_PROVINC,IMD_TOTAL,IMD_PESADO,IMD_LIGERO,PORC_PESAD,UTM_X,UTM_Y
10474,GU-51-2,A-2,97.960000000000000,19,24910.000000000000000,7123.000000000000000,17787.000000000000000,28.59,517032.02,4525127.07
151,B-134-1,A-2,608.299999999999955,8,138316.000000000000000,19634.000000000000000,118682.000000000000000,14.2,923651.38,4589865.51
2053,M-84-0,A-2,8.250000000000000,28,113042.000000000000000,4693.000000000000000,108349.000000000000000,4.15,447700.12,4477848.54
10116,B-254-0,A-2,534.350000000000023,8,26640.000000000000000,5604.000000000000000,21036.000000000000000,21.04,868258.13,4617464.76
2787,B-13-0,A-2,544.299999999999955,8,27059.000000000000000,5634.000000000000000,21425.000000000000000,20.82,877019.32,4616976.05
1408,GU-435-0,A-2,133.650000000000000,19,21726.000000000000000,7126.000000000000000,14600.000000000000000,32.8,544487.45,4542725.31
10471,GU-45-1,A-2,74.860000000000000,19,27787.000000000000000,7635.000000000000000,20152.000000000000000,27.48,498512.02,4511709.04
1791,L-201-0,A-2,524.809999999999945,25,25200.000000000000000,5431.000000000000000,19769.000000000000000,21.55,859713.27,4619764.48
92,M-85-0,A-2,16.000000000000000,28,114728.000000000000000,9285.000000000000000,105443.000000000000000,8.09,455318.50,4477623.47
15228,M-785-0,A-2,16.000000000000000,28,25127.000000000000000,678.000000000000000,24449.000000000000000,2.7,455305.56,4477618.95
1946,B-225-0,A-2,556.600000000000023,8,40571.000000000000000,6711.000000000000000,33860.000000000000000,16.54,887093.59,4615173.90
15226,M-784-0,A-2,8.250000000000000,28,12487.000000000000000,1195.000000000000000,11292.000000000000000,9.57,447711.18,4477848.37
14110,Z-482-0,A-2,298.150000000000000,50,25784.000000000000000,6648.000000000000000,19136.000000000000000,25.78,657671.20,4604760.24
14112,Z-483-0,A-2,309.800000000000000,50,42064.000000000000000,7565.000000000000000,34499.000000000000000,17.98,666566.74,4610333.18
11313,HU-262-2,A-2,439.100000000000000,22,6176.000000000000000,1766.000000000000000,4410.000000000000000,28.59,781487.38,4601659.12
1354,Z-156-0,A-2,236.100000000000000,50,19473.000000000000000,5614.000000000000000,13859.000000000000000,28.83,615358.66,4578521.62
12959,Z-19-0,A-2,243.020000000000000,50,21599.000000000000000,5850.000000000000000,15749.000000000000000,27.08,619697.05,4582502.44
3534,Z-62-0,A-2,256.400000000000000,50,21366.000000000000000,5739.000000000000000,15627.000000000000000,26.86,625989.12,4587152.33
10728,Z-151-0,A-2,264.650000000000000,50,22571.000000000000000,5760.000000000000000,16811.000000000000000,25.52,629600.75,4592913.58
1398,M-798-0,A-2,12.500000000000000,28,20630.000000000000000,1711.000000000000000,18919.000000000000000,8.29,451942.40,4477817.63
966,L-20-0,A-2,449.510000000000000,25,15050.000000000000000,4907.000000000000000,10143.000000000000000,32.6,791932.83,4607490.89
6046,L-82-2,A-2,501.140000000000000,25,35134.000000000000000,8719.000000000000000,26415.000000000000000,24.82,838959.55,4618139.36
527,Z-7-0,A-2,229.000000000000000,50,17605.000000000000000,5613.000000000000000,11992.000000000000000,31.88,610213.97,4575239.81
1571,GU-136-0,A-2,115.810000000000000,19,21090.000000000000000,6734.000000000000000,14356.000000000000000,31.93,530949.99,4535316.67
4782,M-98-0,A-2,12.530000000000000,28,112409.000000000000000,5411.000000000000000,106998.000000000000000,4.81,451961.91,4477816.48
2351,B-240-0,A-2,601.100000000000023,8,109209.000000000000000,8516.000000000000000,100693.000000000000000,7.8,919247.19,4595249.44
600,Z-310-0,A-2,334.750000000000000,50,34181.000000000000000,10403.000000000000000,23778.000000000000000,30.44,687611.89,4611886.55
1154,B-372-0,A-2,602.899999999999977,8,104829.000000000000000,7757.000000000000000,97072.000000000000000,7.4,920015.03,4593551.95
14106,Z-480-0,A-2,237.950000000000000,50,20931.000000000000000,6369.000000000000000,14562.000000000000000,30.43,616143.33,4579315.61
14108,Z-481-0,A-2,274.950000000000000,50,24500.000000000000000,6420.000000000000000,18080.000000000000000,26.2,638443.12,4595021.76
15148,Z-499-0,A-2,279.450000000000000,50,23548.000000000000000,5926.000000000000000,17622.000000000000000,25.17,641350.42,4596846.26
13333,Z-387-0,A-2,291.170000000000000,50,26671.000000000000000,6081.000000000000000,20590.000000000000000,22.8,652675.22,4602068.82
5035,Z-313-0,A-2,306.800000000000000,50,38051.000000000000000,6843.000000000000000,31208.000000000000000,17.98,664087.84,4609375.88
15042,GU-495-0,A-2,84.000000000000000,19,25126.000000000000000,7706.000000000000000,17420.000000000000000,30.67,505251.75,4517859.82
15136,GU-496-0,A-2,116.200000000000000,19,20864.000000000000000,7034.000000000000000,13830.000000000000000,33.71,532041.24,4535827.23
15138,GU-497-0,A-2,135.860000000000000,19,19667.000000000000000,7218.000000000000000,12449.000000000000000,36.7,546414.31,4543850.02
16917,L-61-0,A-2,445.150000000000000,25,10776.000000000000000,2804.000000000000000,7972.000000000000000,26.02,787662.06,4604246.03
