codesta,clave,carretera,pk,id_provincia,imd_total,imd_pesado,imd_ligero,porc_pesado,utm_x,utm_y
3501,L-200-0,A-2,517.85,25.0,30654.0,8066.0,22588.0,26.31,854367.5618505246,4623728.484716077
6050,L-62-0,A-2,474.1,25.0,40823.0,13953.0,26870.0,34.18,813151.3855887543,4615963.994169674
10474,GU-51-2,A-2,97.96,19.0,24910.0,7123.0,17787.0,28.59,517032.01646304625,4525127.067189174
151,B-134-1,A-2,608.3,8.0,138316.0,19634.0,118682.0,14.2,923651.3785032912,4589865.512950989
2053,M-84-0,A-2,8.25,28.0,113042.0,4693.0,108349.0,4.15,447700.1165261401,4477848.541772915
15276,GI-82-1,A-2,698.935,17.0,36713.0,2620.0,34093.0,7.14,978317.9822285267,4648139.5056720115
10116,B-254-0,A-2,534.35,8.0,26640.0,5604.0,21036.0,21.04,868258.1316698215,4617464.756300188
2787,B-13-0,A-2,544.3,8.0,27059.0,5634.0,21425.0,20.82,877019.3173762028,4616976.048205089
1408,GU-435-0,A-2,133.65,19.0,21726.0,7126.0,14600.0,32.8,544487.4546269297,4542725.30586505
10471,GU-45-1,A-2,74.86,19.0,27787.0,7635.0,20152.0,27.48,498512.02130942966,4511709.041454546
1791,L-201-0,A-2,524.81,25.0,25200.0,5431.0,19769.0,21.55,859713.2742100299,4619764.483862732
13140,M-743-0,A-2,17.3,28.0,4033.0,136.0,3897.0,3.37,456392.9588559045,4478059.962953889
15730,GI-806-0,A-2,693.75,17.0,183.0,20.0,163.0,10.93,978629.3788976478,4643256.248637351
92,M-85-0,A-2,16.0,28.0,114728.0,9285.0,105443.0,8.09,455318.50446947373,4477623.467000305
3873,GI-76-1,A-2,701.96,17.0,40042.0,2820.0,37222.0,7.04,979470.3985963556,4650674.688079051
1808,B-226-0,A-2,586.8,8.0,96037.0,12263.0,83774.0,12.77,910795.3622412304,4605511.138374439
15228,M-785-0,A-2,16.0,28.0,25127.0,678.0,24449.0,2.7,455305.5550879445,4477618.952596947
1946,B-225-0,A-2,556.6,8.0,40571.0,6711.0,33860.0,16.54,887093.5922410269,4615173.901567035
15234,M-155-0,A-2,23.07,28.0,141845.0,18836.0,123009.0,13.28,462167.670076463,4479696.8268018775
15226,M-784-0,A-2,8.25,28.0,12487.0,1195.0,11292.0,9.57,447711.1804769276,4477848.37105179
15232,M-786-0,A-2,19.0,28.0,11871.0,629.0,11242.0,5.3,458095.8656874247,4479139.072843079
15240,M-304-0,A-2,29.0,28.0,85620.0,13573.0,72047.0,15.85,467342.73604266084,4482726.111719384
15236,M-755-0,A-2,23.07,28.0,15714.0,883.0,14831.0,5.62,462181.50409956375,4479698.411292819
15238,M-855-0,A-2,23.07,28.0,12611.0,1090.0,11521.0,8.64,462156.20170936163,4479695.513125395
15246,M-345-0,A-2,36.5,28.0,110017.0,15747.0,94270.0,14.31,473872.9841734287,4485413.780734566
15242,M-734-0,A-2,29.0,28.0,41238.0,2764.0,38474.0,6.7,467412.0237948965,4482777.910863808
15244,M-834-0,A-2,29.0,28.0,33706.0,1792.0,31914.0,5.32,467282.27060018055,4482678.392271246
14110,Z-482-0,A-2,298.15,50.0,25784.0,6648.0,19136.0,25.78,657671.1957314163,4604760.237900681
14112,Z-483-0,A-2,309.8,50.0,42064.0,7565.0,34499.0,17.98,666566.7354141274,4610333.183102886
14122,Z-488-0,A-2,323.35,50.0,72549.0,14237.0,58312.0,19.62,677586.6030012452,4616411.552011733
14116,Z-485-0,A-2,316.05,50.0,72692.0,12869.0,59823.0,17.7,671263.934608514,4614318.579348266
14120,Z-487-0,A-2,321.8,50.0,86348.0,16639.0,69709.0,19.27,675871.0148941237,4616383.2912982665
14126,Z-490-0,A-2,329.1,50.0,48967.0,12840.0,36127.0,26.22,682989.3477646841,4614859.009738491
3919,M-107-0,A-2,38.71,28.0,90124.0,16071.0,74053.0,17.83,475552.23704162234,4486902.189850692
11313,HU-262-2,A-2,439.1,22.0,6176.0,1766.0,4410.0,28.59,781487.3789207373,4601659.124434351
14114,Z-484-0,A-2,313.9,50.0,68200.0,11713.0,56487.0,17.17,669526.0705697102,4612696.830100937
4725,GU-66-0,A-2,51.15,19.0,80352.0,8912.0,71440.0,11.09,484211.8579417808,4497319.170011066
14118,Z-486-0,A-2,320.34,50.0,96690.0,16531.0,80159.0,17.1,674513.1324661423,4616456.297402108
392,B-137-0,A-2,563.7,8.0,40893.0,6929.0,33964.0,16.94,893200.3728966154,4615742.45090865
451,SO-247-2,A-2,153.94,42.0,13494.0,5542.0,7952.0,41.07,550266.6163772463,4559462.736938264
182,SO-248-2,A-2,170.51,42.0,13602.0,5633.0,7969.0,41.41,562430.5230762329,4564129.710906331
1354,Z-156-0,A-2,236.1,50.0,19473.0,5614.0,13859.0,28.83,615358.6554182173,4578521.618666462
12959,Z-19-0,A-2,243.02,50.0,21599.0,5850.0,15749.0,27.08,619697.0455715872,4582502.443645763
3534,Z-62-0,A-2,256.4,50.0,21366.0,5739.0,15627.0,26.86,625989.1169989752,4587152.331922785
10728,Z-151-0,A-2,264.65,50.0,22571.0,5760.0,16811.0,25.52,629600.7480298319,4592913.579295525
2800,SO-4-0,A-2,148.1,42.0,19348.0,6749.0,12599.0,34.88,547955.737416809,4555021.781292262
11141,GI-77-1,A-2,708.33,17.0,48761.0,5092.0,43669.0,10.44,980403.2497127434,4657040.340733646
13134,M-704-0,A-2,27.0,28.0,11554.0,810.0,10744.0,7.01,465883.53597657365,4481202.633235621
15248,GU-371-0,A-2,47.0,19.0,81332.0,12671.0,68661.0,15.58,480778.1691565526,4493215.449469994
3188,L-80-0,A-2,483.84,25.0,35780.0,8309.0,27471.0,23.22,821943.8457973066,4616886.251616899
1398,M-798-0,A-2,12.5,28.0,20630.0,1711.0,18919.0,8.29,451942.40464075207,4477817.634763021
966,L-20-0,A-2,449.51,25.0,15050.0,4907.0,10143.0,32.6,791932.8334631333,4607490.892986294
6046,L-82-2,A-2,501.14,25.0,35134.0,8719.0,26415.0,24.82,838959.5539816333,4618139.3628911
15286,GI-177-0,A-2,733.375,17.0,5199.0,346.0,4853.0,6.66,987591.9993735624,4678214.72229051
527,Z-7-0,A-2,229.0,50.0,17605.0,5613.0,11992.0,31.88,610213.9663954993,4575239.814188508
4550,M-104-0,A-2,27.0,28.0,118866.0,13798.0,105068.0,11.61,465891.55267510965,4481213.384121303
6047,L-81-2,A-2,488.09,25.0,33150.0,8730.0,24420.0,26.33,826013.840032204,4617610.542397257
1350,B-138-0,A-2,572.35,8.0,45715.0,7089.0,38626.0,15.51,899848.1434996014,4613170.6469453005
10529,M-343-0,A-2,17.43,28.0,116767.0,6629.0,110138.0,5.68,456340.8878340526,4478036.823803401
6049,L-65-2,A-2,510.7,25.0,31676.0,7262.0,24414.0,22.93,847670.414769416,4620272.241459644
11532,L-476-0,A-2,470.0,25.0,22969.0,5483.0,17486.0,23.87,808113.317159876,4615335.162614755
15272,GI-81-1,A-2,695.904,17.0,32457.0,2466.0,29991.0,7.6,978842.4598770968,4645309.178507636
1571,GU-136-0,A-2,115.81,19.0,21090.0,6734.0,14356.0,31.93,530949.9880685795,4535316.668211798
15044,L-491-0,A-2,464.34,25.0,35004.0,7699.0,27305.0,21.99,802855.4477354689,4618833.904711652
4782,M-98-0,A-2,12.53,28.0,112409.0,5411.0,106998.0,4.81,451961.9058629657,4477816.478773033
2138,L-178-0,A-2,506.65,25.0,33651.0,9456.0,24195.0,28.1,843804.3844948924,4620089.641962356
2351,B-240-0,A-2,601.1,8.0,109209.0,8516.0,100693.0,7.8,919247.1949011871,4595249.4378053965
600,Z-310-0,A-2,334.75,50.0,34181.0,10403.0,23778.0,30.44,687611.8938132615,4611886.5547964405
887,L-89-1,A-2,460.03,25.0,31412.0,8464.0,22948.0,26.95,798009.3419404306,4617737.504478351
1422,M-86-0,A-2,19.0,28.0,171302.0,20073.0,151229.0,11.72,458039.7461798287,4479119.591761391
11242,GU-337-0,A-2,43.1,19.0,89725.0,12674.0,77051.0,14.13,478581.3217888384,4490344.213676334
1154,B-372-0,A-2,602.9,8.0,104829.0,7757.0,97072.0,7.4,920015.032564343,4593551.953471434
2058,GI-106-0,A-2,693.75,17.0,33094.0,3878.0,29216.0,11.72,978624.4093823577,4643241.923646981
1843,Z-386-0,A-2,187.25,50.0,15584.0,5633.0,9951.0,36.15,574470.8206485414,4573455.896687468
2590,Z-82-0,A-2,214.6,50.0,16358.0,5330.0,11028.0,32.58,598108.3448577311,4574837.677929806
643,Z-560-0,A-2,201.05,50.0,16439.0,5774.0,10665.0,35.12,587203.3219421223,4572963.569665979
14106,Z-480-0,A-2,237.95,50.0,20931.0,6369.0,14562.0,30.43,616143.330188884,4579315.611503737
14108,Z-481-0,A-2,274.95,50.0,24500.0,6420.0,18080.0,26.2,638443.117825764,4595021.763960201
15148,Z-499-0,A-2,279.45,50.0,23548.0,5926.0,17622.0,25.17,641350.4157442491,4596846.257957054
13333,Z-387-0,A-2,291.17,50.0,26671.0,6081.0,20590.0,22.8,652675.2195340171,4602068.815786504
5035,Z-313-0,A-2,306.8,50.0,38051.0,6843.0,31208.0,17.98,664087.8415000804,4609375.87784646
13039,Z-493-0,A-2,317.22,50.0,79844.0,12436.0,67408.0,15.58,671913.3977810341,4615042.373401534
14124,Z-489-0,A-2,326.8,50.0,59690.0,13956.0,45734.0,23.38,680835.4177946043,4615897.255594183
15250,GU-771-0,A-2,47.0,19.0,841.0,194.0,647.0,23.07,480640.6825159761,4493009.181422286
15252,GU-399-0,A-2,56.8,19.0,43761.0,8560.0,35201.0,19.56,487623.1444099499,4497986.631499555
15040,GU-494-0,A-2,63.1,19.0,33600.0,8502.0,25098.0,25.3,491678.52364810527,4502866.2023678515
15042,GU-495-0,A-2,84.0,19.0,25126.0,7706.0,17420.0,30.67,505251.75497853133,4517859.8152716225
15136,GU-496-0,A-2,116.2,19.0,20864.0,7034.0,13830.0,33.71,532041.2449371652,4535827.230724697
15138,GU-497-0,A-2,135.86,19.0,19667.0,7218.0,12449.0,36.7,546414.313881243,4543850.015555852
1128,GI-703-0,A-2,706.607,17.0,3555.0,758.0,2797.0,21.32,980151.630735077,4655245.607456555
11125,GI-203-0,A-2,706.607,17.0,42954.0,3993.0,38961.0,9.3,980140.3317808092,4655246.784670161
15274,GI-881-1,A-2,695.904,17.0,190.0,16.0,174.0,8.42,978843.3608332418,4645295.378682607
15278,GI-882-1,A-2,698.935,17.0,229.0,20.0,209.0,8.73,978316.6848667458,4648130.762562782
13213,GI-777-1,A-2,708.33,17.0,1296.0,174.0,1122.0,13.43,980417.6837450088,4657040.163086606
16917,L-61-0,A-2,445.15,25.0,10776.0,2804.0,7972.0,26.02,787662.0584812853,4604246.027655229
17187,B-140-0,A-2,581.1,8.0,63956.0,8119.0,55837.0,12.69,906896.2085996298,4609135.016749859
17237,GI-877-1,A-2,708.33,,,,,,980392.527918349,4657038.980015305
