provincia,municipio,utm_x,utm_y,subestacion,nivel_tension_kv,capacidad_disponible_mw,denominacion_punto,identificador_punto
Guadalajara,Alovera,479370.575522362,4492555.01449082,3619,132,0,ALOVERA     132.00,0025004016
Guadalajara,Alovera,479370.575522362,4492555.01449082,3619,45,0,ALOVERA     45.000,0025030721
Guadalajara,Alovera,479370.575522362,4492555.01449082,3619,20,0,ALOVERA T1  ,0319065018
Guadalajara,Alovera,479370.575522362,4492555.01449082,3619,20,0,ALOVERA T2  ,0319065020
Guadalajara,Cabanillas del Campo,478751.597898836,4496171.8717219,3267,132,0,CABANILL    132.00,0025009048
Guadalajara,Cabanillas del Campo,478751.597898836,4496171.8717219,3267,20,0,CABCAMPO T1 ,0319065046
Guadalajara,Cabanillas del Campo,478751.597898836,4496171.8717219,3267,20,0,CABCAMPO T2 ,0319065048
Guadalajara,Cabanillas del Campo,478751.597898836,4496171.8717219,3267,20,0,CABCAMPO T3 ,0319174386
Guadalajara,Cabanillas del Campo,479341.257893525,4495711.58683211,7146,132,0,AIR LIQU    132.00,0025009006
Guadalajara,Marchamalo,484252.336350341,4503014.81050043,3398,132,0,CTRANSPO    132.00,0025004331
Guadalajara,Marchamalo,484252.336350341,4503014.81050043,3398,20,0,CTRANSPO T1 ,0319497687
Guadalajara,Marchamalo,484252.336350341,4503014.81050043,3398,20,0,CTRANSPO T2 ,0319497689
Guadalajara,Brihuega,501471.313466556,4510825.89931534,3239,132,0,ALCARRIA    132.00,0025009025
Guadalajara,Galápagos,466231.982055925,4505183.31622165,3656,20,0,GALAPAGO T1 ,0319065072
Guadalajara,Galápagos,466231.982055925,4505183.31622165,3656,20,0,GALAPAGO T2 ,0319065074
Guadalajara,Galápagos,466231.982055925,4505183.31622165,3656,132,0,GALAPGOS    132.00,0025009092
Guadalajara,Guadalajara,484750.875947456,4500889.59471594,3518,132,0,GUADALAJ    132.00,0025004106
Guadalajara,Guadalajara,484750.875947456,4500889.59471594,3518,66,0,GUADALAJ   A1 66.000,0025047008
Guadalajara,Guadalajara,484750.875947456,4500889.59471594,3518,66,0,GUADALAJ   A2  66.000,0025047009
Guadalajara,Guadalajara,484750.875947456,4500889.59471594,3518,20,0,GUADALAJ T3 ,0319065085
Guadalajara,Guadalajara,484750.875947456,4500889.59471594,3518,20,0,GUADALAJ T4 ,0319065087
Guadalajara,Galápagos,471273.971870134,4506467.74250519,3813,132,0,TENEBRON    132.00,0025009056
Guadalajara,Torija,497599.107563916,4511899.14082652,3290,132,0,TORIJA      132.00,0025009167
Guadalajara,Torija,497599.107563916,4511899.14082652,3290,20,0,TORIJA T1   ,0319065223
Guadalajara,Torija,497599.107563916,4511899.14082652,3290,20,0,TORIJA T2   ,0319065225
Guadalajara,Villanueva de la Torre,476199.484796631,4491949.84219492,3373,20,0,VILTORRE T1 ,0319112606
Guadalajara,Villanueva de la Torre,476199.484796631,4491949.84219492,3373,132,0,VNVATORR    132.00,0025009620
Guadalajara,Alarilla,490452.493749073,4520317.58490484,4048,66,0,ALARILLA    66.000,0025030318
Guadalajara,Alarilla,490452.493749073,4520317.58490484,4048,20,0,ALARILLA T1 ,0319065002
Guadalajara,Fontanar,484383.621207333,4510039.50598911,4494,66,0,FONTANAR A1   66.000,0025047230
Guadalajara,Fontanar,484383.621207333,4510039.50598911,4494,20,0,FONTANAR T1 ,0319065070
Guadalajara,Fontanar,484383.621207333,4510039.50598911,4494,20,0,FONTANAR T2 ,0319520416
Guadalajara,Jadraque,506447.282919763,4531254.71458079,4147,66,0,JADRAQUE A1   66.000,0025030485
Guadalajara,Jadraque,506447.282919763,4531254.71458079,4147,20,0,JADRAQUE T1 ,0319065103
Guadalajara,Sigüenza,529863.642311232,4545304.77395447,4059,66,0,SIGUENZA   A1  66.000,0025030624
Guadalajara,Sigüenza,529863.642311232,4545304.77395447,4059,66,0,SIGUENZA   A2  66.000,0025030690
Guadalajara,Sigüenza,529863.642311232,4545304.77395447,4059,20,0,SIGUENZA T1 ,0319065191
Guadalajara,Sigüenza,529863.642311232,4545304.77395447,4059,20,0,SIGUENZA T2 ,0319065193
Guadalajara,Yunquera de Henares,484856.502100635,4514200.31937653,4195,66,0,YUNQUERA A1   66.000,0025047240
Guadalajara,Yunquera de Henares,484856.502100635,4514200.31937653,4195,20,0,YUNQUERA T1 ,0319065253
Madrid,Getafe,440377.306280231,4461702.4183405,4030,45,"1,97",SMR DIESEL A,0528046691
Madrid,Getafe,440377.306280231,4461702.4183405,4030,45,"6,17",SMR DIESEL B,0528046583
Madrid,Alcobendas,443954.627708837,4487254.2954033,4457,66,"3,1",EQUINIX     66.000,0021048020
Madrid,Getafe,440999.488322707,4462220.49416158,4023,45,"25,73",SMR HERRER A,0528046765
Madrid,Getafe,440999.488322707,4462220.49416158,4023,45,"28,09",SMR HERRER B,0528046660
Madrid,Pinto,440174.478952048,4456612.86879203,4019,45,"1,97",SMR TENE2 BA,0528046701
Madrid,Pinto,440174.478952048,4456612.86879203,4019,45,"20,18",SMR TENE2 BB,0528046593
Madrid,Madrid,435382.703262565,4470999.48068873,4226,45,"19,92",SMR MAQUE A1,0528000207
Madrid,Madrid,440415.274675466,4465615.48800499,4227,45,"38,97",SMR EUST BA1,0528049081
Madrid,Madrid,440415.274675466,4465615.48800499,4227,45,"38,97",SMR EUST BA2,0528049079
Madrid,Madrid,440415.274675466,4465615.48800499,4227,45,"38,97",SMR EUST BA3,0528046424
Madrid,Madrid,436455.451980401,4468530.68838005,3896,15,35,AGUACATE T1 ,0528088439
Madrid,Madrid,436455.451980401,4468530.68838005,3896,15,"24,72",AGUACATE T2 ,0528088470
Madrid,Madrid,436455.451980401,4468530.68838005,3896,15,"25,92",AGUACATE T3 ,0528088471
Madrid,Alcalá de Henares,468127.947250485,4483398.58424786,3637,132,0,ALCALA      132.00,0025004007
Madrid,Alcalá de Henares,468127.947250485,4483398.58424786,3637,20,0,ALCALA T1   ,0528088483
Madrid,Alcalá de Henares,468127.947250485,4483398.58424786,3637,20,0,ALCALA T2   ,0528088622
Madrid,Alcalá de Henares,468127.947250485,4483398.58424786,3637,20,0,ALCALA T3   ,0528088621
Madrid,Alcobendas,444879.564735239,4488883.72405247,3227,20,"33,76",ALCOBE.M T1 ,0528088872
Madrid,Alcobendas,444879.564735239,4488883.72405247,3227,20,"34,86",ALCOBE.M T2 ,0528088873
Madrid,Alcobendas,444879.564735239,4488883.72405247,3227,20,"34,13",ALCOBE.M T3 ,0528088874
Madrid,Algete,453298.2069217,4493722.15598842,3210,66,0,ALGETE,0021031578
Madrid,Algete,453298.2069217,4493722.15598842,3210,20,0,ALGETE T3   ,0528089194
Madrid,Algete,453298.2069217,4493722.15598842,3210,20,0,ALGETE T4   ,0528557228
