OBJECTID,Gestor de red,Nombre del gestor,Provincia,Municipio,Coordenada X,Coordenada Y,Subestación,Nivel de tensión (kV),Capacidad disponible (MW),Nudo reservado,Capacidad ocupada (MW),Capacidad admitida y no evaluada (MW),Nudo 0*,x,y
1,R1-091,"ELECTRA AVELLANA, SL",Girona,Cornellà del Terri,981647.31,4676263.25,SUBESTACIO SORDS,10,0,No,0,0,0,981647.31,4676263.25
2,R1-091,"ELECTRA AVELLANA, SL",Girona,Cornellà del Terri,981647.31,4676263.25,SUBESTACIO SORDS,10,0,No,0,0,0,981647.31,4676263.25
3,R1-061,OÑARGI SL,Gipuzkoa,Oñati,547396.66,4764587.71,Bustinzulo_1,13,0,No,0,0,0,547396.66,4764587.71
4,R1-061,OÑARGI SL,Gipuzkoa,Oñati,547384.72,4764582.05,Bustinzulo_1,30,0,No,0,0,0,547384.72,4764582.05
5,R1-227,RUIZ DE LA TORRE SL,"Rioja, La",Arnedo,575534.19,4676731.3,Ruidela,20,5,No,5,0,0,575534.19,4676731.3
6,R1-227,RUIZ DE LA TORRE SL,"Rioja, La",Arnedo,575523.28,4676703.2,Ruidela,66,5,No,5,0,0,575523.28,4676703.2
7,R1-077,ELÉCTRICA CORVERA S.L.,Murcia,Murcia,663252.66,4189968.37,SUB_CORVERA,20,0,No,0,0,0,663252.66,4189968.37
8,R1-077,ELÉCTRICA CORVERA S.L.,Murcia,Murcia,663259.32,4189954.37,SUB_CORVERA,132,0,No,0,0,0,663259.32,4189954.37
9,R1-077,ELÉCTRICA CORVERA S.L.,Murcia,Murcia,663252.66,4189954.37,SUB_CORVERA,20,0,No,0,0,0,663252.66,4189954.37
10,R1-077,ELÉCTRICA CORVERA S.L.,Murcia,Murcia,663259.32,4189968.37,SUB_CORVERA,20,0,No,0,0,0,663259.32,4189968.37
11,R1-037,CARDENER DISTRIBUCIO ELECTRICA S.L.U.,Lleida,Clariana de Cardener,881387.47,4651566.12,SUBESTACIÓ TRULLÀS,6,0,No,0,0,0,881387.47,4651566.12
12,R1-050,HIJOS DE JACINTO GUILLEN DISTRIBUIDORA ELECTRICA SL,Badajoz,Guareña,229754.76,4305669.99,S.T.R. GUAREÑA,45,0,No,12.38,4,0,229754.76,4305669.99
13,R1-050,HIJOS DE JACINTO GUILLEN DISTRIBUIDORA ELECTRICA SL,Badajoz,Guareña,229794.99,4305686.21,S.T.R. GUAREÑA,22,0,No,12.38,4,0,229794.99,4305686.21
14,R1-050,HIJOS DE JACINTO GUILLEN DISTRIBUIDORA ELECTRICA SL,Badajoz,Guareña,229756.29,4305674.86,S.T.R. GUAREÑA,22,0,No,0,0,0,229756.29,4305674.86
15,R1-037,CARDENER DISTRIBUCIO ELECTRICA S.L.U.,Lleida,Olius,872577.13,4654410.32,SUBESTACIÓ VILADOT,6,0,No,0,0,0,872577.13,4654410.32
16,R1-191,"ALSET ELÉCTRICA, S.L.",Cádiz,Alcalá del Valle,306369.83,4086264.85,Sub 33Kv Alcala,33,0,No,0,0,0,306369.83,4086264.85
17,R1-191,"ALSET ELÉCTRICA, S.L.",Cádiz,Alcalá del Valle,306370.75,4086252.92,Sub 33Kv Alcala,20,0,No,0,0,0,306370.75,4086252.92
18,R1-191,"ALSET ELÉCTRICA, S.L.",Cádiz,Setenil de las Bodegas,305445.47,4082464.55,La Molinilla,33,0,No,0,0,0,305445.47,4082464.55
19,R1-191,"ALSET ELÉCTRICA, S.L.",Cádiz,Setenil de las Bodegas,305445.47,4082478.55,La Molinilla,20,0,No,0,0,0,305445.47,4082478.55
20,R1-204,ELECTRA DE SANTA COMBA SL,"Coruña, A",Santa Comba,28007,4780057,SANTA COMBA,66,1,No,0,0,0,28007,4780057
21,R1-204,ELECTRA DE SANTA COMBA SL,"Coruña, A",Santa Comba,28034,4780068,SANTA COMBA,20,1,No,0,0,0,28034,4780068
22,R1-085,"CENTRAL ELECTRICA MITJANS,SL",Girona,Sarrià de Ter,982249.91,4667757.71,S.E. Estacio Central,25,0,No,2,0,0,982249.91,4667757.71
23,R1-085,"CENTRAL ELECTRICA MITJANS,SL",Girona,Sarrià de Ter,982227.84,4667751.14,PF. ENDESA,25,0,No,2,0,0,982227.84,4667751.14
24,R1-085,"CENTRAL ELECTRICA MITJANS,SL",Girona,Sarrià de Ter,982404.12,4668300.86,PLACETA,25,0,No,2,0,0,982404.12,4668300.86
25,R1-099,"ELECTRICITAT LA AURORA, SLU",Girona,Girona,982362.93,4666327.4,PF. ENDESA,25,0,No,2,0,0,982362.93,4666327.4
26,R1-099,"ELECTRICITAT LA AURORA, SLU",Girona,Girona,982360.25,4666326.72,PF. GEC,25,0,No,2,0,0,982360.25,4666326.72
27,R1-099,"ELECTRICITAT LA AURORA, SLU",Girona,Girona,982369.36,4666327.77,CM. PALOMAR,25,0,No,3,0,0,982369.36,4666327.77
28,R1-099,"ELECTRICITAT LA AURORA, SLU",Girona,Celrà,986284.37,4669772.03,CRM. PIRINEUS,25,0,No,3,0,0,986284.37,4669772.03
29,R1-099,"ELECTRICITAT LA AURORA, SLU",Girona,Celrà,986495.54,4669711.17,CR. ORRIOLS,25,0,No,1.5,0,0,986495.54,4669711.17
30,R1-099,"ELECTRICITAT LA AURORA, SLU",Girona,Sarrià de Ter,981654.99,4666906.43,CM. MERKAMUEBLE,25,0,No,0.5,0,0,981654.99,4666906.43
31,R1-099,"ELECTRICITAT LA AURORA, SLU",Girona,Sant Julià de Ramis,984009.17,4669949.84,CM. EL CASTELL,25,0,No,1,0,0,984009.17,4669949.84
32,R1-099,"ELECTRICITAT LA AURORA, SLU",Girona,Celrà,986085.38,4670844.11,CM. EDAR,25,0,No,0.4,0,0,986085.38,4670844.11
