tramo_id,candidate_id,demanda_cargas_dia,distancia_km,metodo
T000,C006,12.653323200000003,8.0,exacto_pulp
T001,C027,15.006799200000003,34.55,exacto_pulp
T002,C027,6.8137355999999984,31.2,exacto_pulp
T003,C027,3.0557568,29.734,exacto_pulp
T004,C006,11.764102752,2.9160000000000004,exacto_pulp
T005,C006,5.2753824,4.700000000000003,exacto_pulp
T006,C006,8.576568,6.350000000000001,exacto_pulp
T007,C006,14.3670672,9.600000000000001,exacto_pulp
T008,C027,13.102022400000001,17.45,exacto_pulp
T009,C006,18.3508356,18.700000000000003,exacto_pulp
T010,C027,1.7822754,8.57,exacto_pulp
T011,C027,6.080125536,6.82,exacto_pulp
T012,C027,5.114325,4.200000000000003,exacto_pulp
T013,C006,6.441048432,29.65,exacto_pulp
T014,C027,6.2458053840000005,1.8999999999999986,exacto_pulp
T015,C027,8.026200576,5.602499999999999,exacto_pulp
T016,C027,3.5288870399999994,9.402500000000003,exacto_pulp
T017,C006,2.286424728,43.2,exacto_pulp
T018,C006,10.296115200000001,50.75,exacto_pulp
T019,C006,6.270747864,61.95,exacto_pulp
T020,C027,6.98301792,41.55000000000001,exacto_pulp
T021,C006,4.0234632,81.80000000000001,exacto_pulp
T022,C006,1.1837232,86.2,exacto_pulp
T023,C027,6.8134197599999995,63.0,exacto_pulp
T024,C006,0.8427386880000001,101.65,exacto_pulp
T025,C006,3.7961999999999994,106.25,exacto_pulp
T026,C027,2.9199743999999996,81.80000000000001,exacto_pulp
T027,C006,1.393244928,116.94999999999999,exacto_pulp
T028,C027,2.3826963840000004,89.85000000000002,exacto_pulp
T029,C027,0.739164528,93.25,exacto_pulp
T030,C027,1.817473728,96.14999999999998,exacto_pulp
T031,C027,2.1499497599999997,100.55000000000001,exacto_pulp
T032,C027,1.2368060639999998,104.9,exacto_pulp
T033,C027,5.0521536,114.69999999999999,exacto_pulp
T034,C096,1.2405024,119.77000000000001,exacto_pulp
T035,C096,0.8725955040000001,116.47000000000003,exacto_pulp
T036,C096,0.7168798080000002,113.92000000000002,exacto_pulp
T037,C096,0.8011033920000001,111.48500000000001,exacto_pulp
T038,C096,1.7690956800000004,107.83500000000004,exacto_pulp
T039,C096,2.4685056,102.17000000000002,exacto_pulp
T040,C096,3.0414780239999994,95.02000000000001,exacto_pulp
T041,C096,1.1847916079999998,89.67000000000002,exacto_pulp
T042,C096,0.35372539199999997,87.72000000000003,exacto_pulp
T043,C096,2.6303664,83.92000000000002,exacto_pulp
T044,C096,2.7088848000000003,77.12,exacto_pulp
T045,C096,3.4548096000000004,69.27000000000001,exacto_pulp
T046,C096,1.647828,62.920000000000016,exacto_pulp
T047,C096,1.014048,59.77000000000004,exacto_pulp
T048,C096,1.869408,56.57000000000002,exacto_pulp
T049,C096,2.9025436319999995,51.68100000000004,exacto_pulp
T050,C096,0.633455472,48.18100000000004,exacto_pulp
T051,C096,5.3911104,42.370000000000005,exacto_pulp
T052,C096,3.0767040000000003,34.170000000000016,exacto_pulp
T053,C096,0.541704,30.670000000000016,exacto_pulp
T054,C096,4.2252912,26.27000000000004,exacto_pulp
T055,C096,0.9219802079999999,21.52000000000004,exacto_pulp
T056,C096,3.2163600000000003,17.670000000000016,exacto_pulp
T057,C096,6.33535392,9.069999999999993,exacto_pulp
T058,C096,6.216049944,1.385499999999979,exacto_pulp
T059,C096,1.177606848,7.1924999999999955,exacto_pulp
T060,C096,8.082945624,12.569500000000005,exacto_pulp
T061,C096,1.9534521599999999,17.962500000000034,exacto_pulp
T062,C096,1.188104424,19.579999999999984,exacto_pulp
T063,C096,0.548847624,20.529999999999973,exacto_pulp
T064,C096,4.7516304,22.279999999999973,exacto_pulp
T065,C096,3.096679199999999,24.617500000000007,exacto_pulp
T066,C096,2.155788,26.067499999999995,exacto_pulp
T067,C096,9.28224,28.629999999999995,exacto_pulp
T068,C096,1.4506464,30.97999999999996,exacto_pulp
T069,C096,4.35294,32.579999999999984,exacto_pulp
T070,C096,3.3235391999999995,34.829999999999984,exacto_pulp
T071,C096,3.9957072,37.52999999999997,exacto_pulp
T072,C096,7.301061600000001,43.68000000000001,exacto_pulp
T073,C096,0.5742408,48.47999999999996,exacto_pulp
T074,C172,0.25049856,112.44499999999994,exacto_pulp
T075,C172,0.5189322239999999,109.84999999999997,exacto_pulp
T076,C172,0.548577024,106.25,exacto_pulp
T077,C172,0.1778688,103.79999999999995,exacto_pulp
T078,C172,0.393979392,101.87099999999998,exacto_pulp
T079,C172,0.54181728,99.57099999999997,exacto_pulp
T080,C172,2.0266931999999995,96.0,exacto_pulp
T081,C172,3.0398591999999995,89.5,exacto_pulp
T082,C172,2.358915552,84.14999999999998,exacto_pulp
T083,C172,1.6314664319999996,81.79999999999995,exacto_pulp
T084,C172,1.8482112000000002,79.79999999999995,exacto_pulp
T085,C172,1.7221967999999996,77.74999999999994,exacto_pulp
T086,C172,1.9679839199999998,75.24999999999994,exacto_pulp
T087,C172,6.4663632,70.39999999999998,exacto_pulp
T088,C172,5.916580799999999,63.599999999999966,exacto_pulp
T089,C172,6.651216,56.0,exacto_pulp
T090,C172,2.0598084,50.69999999999993,exacto_pulp
T091,C172,6.3325521600000005,46.09999999999991,exacto_pulp
T092,C172,1.6021104,41.74999999999994,exacto_pulp
T093,C172,2.6732354400000005,39.099999999999966,exacto_pulp
T094,C172,2.08366992,36.099999999999966,exacto_pulp
T095,C172,3.10931616,32.74999999999994,exacto_pulp
T096,C172,2.46090312,29.149999999999864,exacto_pulp
T097,C172,1.5081768,26.649999999999864,exacto_pulp
T098,C172,0.7143608160000001,25.25,exacto_pulp
T099,C172,2.9211840000000002,22.299999999999955,exacto_pulp
T100,C172,1.3051584,18.799999999999955,exacto_pulp
T101,C172,2.491776,15.688999999999965,exacto_pulp
T102,C172,0.5536857599999999,13.138999999999896,exacto_pulp
T103,C172,0.56775168,12.25,exacto_pulp
T104,C172,3.2178988799999995,9.25,exacto_pulp
T105,C172,5.190782088,2.6499999999998636,exacto_pulp
T106,C172,2.43531,3.300000000000068,exacto_pulp
T107,C172,4.035029376,7.300000000000068,exacto_pulp
T108,C172,1.4410819199999998,10.150000000000091,exacto_pulp
T109,C172,1.3446852239999998,11.600000000000136,exacto_pulp
T110,C172,6.973074359999999,15.900000000000091,exacto_pulp
T111,C172,4.3575580800000004,21.75,exacto_pulp
T112,C172,3.0022004879999997,25.549999999999955,exacto_pulp
T113,C172,4.439109360000001,29.15000000000009,exacto_pulp
T114,C172,0.75813756,31.550000000000068,exacto_pulp
T115,C172,3.7895906400000006,33.65000000000009,exacto_pulp
T116,C172,2.27171712,36.15000000000009,exacto_pulp
T117,C172,1.514989728,37.40000000000009,exacto_pulp
T118,C172,3.3323634239999995,39.0,exacto_pulp
T119,C172,5.914342607999998,41.40000000000009,exacto_pulp
T120,C172,11.826380327999997,45.30000000000007,exacto_pulp
T121,C172,4.138584264,48.700000000000045,exacto_pulp
T122,C172,4.914405,50.450000000000045,exacto_pulp
T123,C172,7.75820736,52.90000000000009,exacto_pulp
T124,C172,8.017687944,55.950000000000045,exacto_pulp
T125,C172,5.5349712,58.60000000000002,exacto_pulp
T126,C172,10.6226688,61.30000000000007,exacto_pulp
T127,C172,6.3072096,63.850000000000136,exacto_pulp
T128,C172,5.2781385599999995,65.59500000000003,exacto_pulp
T129,C204,1.750636416,0.4460000000000264,exacto_pulp
T130,C204,2.5300119120000004,2.349999999999909,exacto_pulp
T131,C204,2.0055072959999998,5.25,exacto_pulp
T132,C204,2.1738000960000003,7.650000000000091,exacto_pulp
T133,C204,1.6750369440000004,9.75,exacto_pulp
T134,C204,3.105312912,12.084499999999935,exacto_pulp
T135,C204,2.283800568,14.499500000000012,exacto_pulp
T136,C218,0.3368952,2.8250000000000455,exacto_pulp
T137,C218,0.26078184,0.4249999999999545,exacto_pulp
