pk_round,pk,utm_x,utm_y,tipo_candidato,es_estacion_aforo,candidate_id,dist_subestacion_km,nudos_demanda_15km,capacidad_entorno_mw,subestacion_cercana,municipio_subestacion,provincia_subestacion,gestor_subestacion,demanda_potencial_dia,cumple_500_kva,candidato_elegible_potencia,coste_fijo,es_auxiliar
8.0,8.0,447464.4215586623,4477831.535022047,centroide_tramo,0,C000,1.6748050038287654,86,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",136.773533258851,True,True,92.78028784709318,0
8.25,8.25,447705.64850153384,4477848.456412353,estacion_aforo,1,C001,1.6729689076384544,87,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",137.1129076243204,True,True,80.7007643985237,0
12.45,12.45,451874.6763254196,4477788.461908833,centroide_tramo,0,C002,1.1424363353543787,81,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",142.83714382017348,True,True,90.36031415491722,0
12.5,12.5,451942.40464075207,4477817.634763021,estacion_aforo,1,C003,1.0928838938470635,81,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",142.89333691634,True,True,78.24864993517286,0
12.53,12.53,451961.9058629657,4477816.478773033,estacion_aforo,1,C004,1.0748618070867793,81,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",142.9270527740399,True,True,78.20507015961444,0
15.8,15.8,455152.8226783893,4477625.736566898,centroide_tramo,0,C005,0.5813696258585842,70,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",146.63028460828446,True,True,88.39040163722609,0
16.0,16.0,455312.02977870905,4477621.209798626,estacion_aforo,1,C006,0.7191879368995039,68,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",146.83669817692447,True,True,76.61990416649242,0
17.266,17.266,456533.523743264,4478132.531588396,centroide_tramo,0,C007,0.3715847748411634,53,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",148.14329606641564,True,True,87.63266903485362,0
17.3,17.3,456392.9588559045,4478059.962953889,estacion_aforo,1,C008,0.2733440744768439,53,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",148.17669011624855,True,True,75.42872395717474,0
17.43,17.43,456340.8878340526,4478036.823803401,estacion_aforo,1,C009,0.25653372240589467,55,29.43,ST LA ESTRELLA PM,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",148.30437324796253,True,True,75.36656566469367,0
18.916,18.916,457981.9731683219,4479015.425126201,centroide_tramo,0,C010,2.0049402004126944,48,20.71,ST SANCHINARRO,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",149.77092530075402,True,True,90.53559954606588,0
19.0,19.0,458067.8059336267,4479129.332302235,estacion_aforo,1,C011,2.1429005438246422,47,20.71,ST SANCHINARRO,Madrid,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",149.837801476445,True,True,78.79657319371594,0
20.7,20.700000000000003,459726.2744642301,4479607.839109982,centroide_tramo,0,C012,2.6873412106698846,37,6.34,VALLECAS 2,Madrid,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",151.1919897152499,True,True,91.5827891245925,0
22.35,22.35,461428.56137558585,4479675.013796901,centroide_tramo,0,C013,2.541640454241186,31,4.39,ST ARROYO DE LA VEGA,Alcobendas,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",152.38799679678132,True,True,91.0240762035224,0
23.07,23.070000000000004,462168.4586284628,4479696.917073364,estacion_aforo,1,C014,1.9496164028165481,29,4.39,ST ARROYO DE LA VEGA,Alcobendas,Madrid,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",152.80907236399509,True,True,77.74591636456888,0
25.6,25.6,464635.7383886034,4480515.688349474,centroide_tramo,0,C015,1.2142475204978935,23,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",154.29833795666707,False,True,217.94232297647648,0
27.0,27.0,465887.5443258417,4481208.008678462,estacion_aforo,1,C016,1.4448226406294185,20,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",154.81327675099845,False,True,206.2883827491481,0
29.0,29.0,467345.6768125792,4482727.471618146,estacion_aforo,1,C017,0.7200227459877689,17,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",155.5489036000434,False,True,204.67436800616278,0
29.55,29.55,467834.4601743678,4483011.63435237,centroide_tramo,0,C018,0.48565750480080444,17,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",155.75271543993563,False,True,216.16008492567025,0
34.7,34.7,472371.13784916,4484543.830438581,centroide_tramo,0,C019,0.5476954554032771,14,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",156.59731147834543,False,True,216.09539091080654,0
36.5,36.5,473872.9841734287,4485413.780734566,estacion_aforo,1,C020,1.3073389714133659,14,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",156.3532202311813,False,True,205.6692331173064,0
38.43,38.43,475300.75251934456,4486616.045957155,centroide_tramo,0,C021,2.2336550950926686,13,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",156.09150017172206,False,True,219.58036063507927,0
38.71,38.71,475552.2370416224,4486902.189850692,estacion_aforo,1,C022,2.3223541140071315,14,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",156.0453828774775,False,True,207.76806603568042,0
40.18,40.18,476448.9119797006,4487919.8133307705,centroide_tramo,0,C023,3.0324985837161833,15,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",155.8436843114935,False,True,221.2334352497392,0
42.8,42.8,478168.2562569645,4489872.893737847,centroide_tramo,0,C024,2.8617801672836563,15,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",155.26013195308957,False,True,221.02242423549978,0
43.1,43.1,478581.3217888384,4490344.213676334,estacion_aforo,1,C025,2.347455837416015,15,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",155.1682632256512,False,True,208.01430853019386,0
45.65,45.65,479965.5365442963,4492079.246574625,centroide_tramo,0,C026,0.7617900803534866,13,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",154.3873790424251,False,True,217.0175071287182,0
47.0,47.0,480709.42583626433,4493112.31544614,estacion_aforo,1,C027,1.450206031424541,12,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",153.8320038035124,False,True,206.5184671731537,0
48.9,48.9,481802.7832227536,4494793.0367086455,centroide_tramo,0,C028,2.627325013243157,12,0.0,ALCALA II,Alcalá de Henares,Madrid,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",153.0503645783761,False,True,221.04740400372236,0
51.15,51.15,484211.8579417808,4497319.170011066,estacion_aforo,1,C029,1.3745080540521601,12,0.0,FUENTE LA NIÑA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",151.91808616934753,False,True,206.7948379314092,0
52.602,52.6025,484329.01473097847,4497053.279231169,centroide_tramo,0,C030,1.545088755947403,12,0.0,FUENTE LA NIÑA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",151.1900046514767,False,True,219.29872788325017,0
56.402,56.4025,487391.49951304187,4497748.195735383,centroide_tramo,0,C031,1.6416059983257651,11,0.0,FUENTE LA NIÑA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",148.81649902260745,False,True,220.02224846783952,0
56.8,56.8,487623.1444099499,4497986.631499555,estacion_aforo,1,C032,1.971276882514151,11,0.0,FUENTE LA NIÑA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",148.54663069509513,False,True,208.7419066706031,0
59.2,59.2,488896.72573603655,4499880.420157718,centroide_tramo,0,C033,4.151956949418189,13,0.0,FUENTE LA NIÑA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",146.93041435289496,False,True,225.4644963264444,0
63.1,63.1,491678.52364810527,4502866.202367852,estacion_aforo,1,C034,7.204112920261665,12,0.0,FUENTE LA NIÑA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",144.19527976944352,False,True,220.18011959600193,0
66.75,66.75,493505.2995765973,4505605.06461475,centroide_tramo,0,C035,7.50830664916935,9,0.0,FUENTE LA NIÑA,Guadalajara,Guadalajara,"UFD DISTRIBUCIÓN ELECTRICIDAD, SA",141.6626105137211,False,True,233.35456673334474,0
74.86,74.86,498512.02130942966,4511709.041454546,estacion_aforo,1,C036,0.9324937082190682,6,0.0,ST TORIJA,Torija,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",134.8542118871467,False,True,209.72463972149825,0
77.95,77.95,500752.3919948447,4513839.306391673,centroide_tramo,0,C037,3.097976949480237,4,0.0,ST TORIJA,Torija,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",132.32540971580437,False,True,226.62080157781992,0
84.0,84.0,505251.7549785313,4517859.815271623,estacion_aforo,1,C038,7.985469822375791,4,0.0,ST TORIJA,Torija,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",126.81196467037088,False,True,225.62805992630422,0
88.55,88.55000000000001,508920.8809205965,4520452.305143085,centroide_tramo,0,C039,11.081996760831007,4,0.0,ST TORIJA,Torija,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",122.76123690494066,False,True,244.7264644152503,0
97.8,97.80000000000001,516860.0924383686,4525092.307481839,centroide_tramo,0,C040,12.09966394874154,1,0.0,STR JADRAQUE,Jadraque,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",113.6426105685978,False,True,248.79984094364133,0
97.96,97.96,517032.0164630463,4525127.067189174,estacion_aforo,1,C041,12.230480465182529,1,0.0,STR JADRAQUE,Jadraque,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",113.47552021002281,False,True,237.09881920611198,0
102.2,102.2,520479.145498413,4527591.639135294,centroide_tramo,0,C042,14.502114932843856,1,0.0,STR JADRAQUE,Jadraque,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",109.12659278435618,False,True,254.61408733134016,0
110.0,110.0,526247.143438991,4532493.659041196,centroide_tramo,0,C043,13.311784680296006,1,0.0,STR SIGUENZA,Sigüenza,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",101.1164492712525,False,True,254.02371952228089,0
115.81,115.81,530949.9880685795,4535316.668211798,estacion_aforo,1,C044,10.047005994701989,1,0.0,STR SIGUENZA,Sigüenza,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",94.6371165097485,False,True,236.94231374776953,0
116.2,116.2,532041.2449371652,4535827.230724697,estacion_aforo,1,C045,9.724490422498677,1,0.0,STR SIGUENZA,Sigüenza,Guadalajara,"i-DE REDES ELÉCTRICAS INTELIGENTES, S.A.U",94.20433829129496,False,True,236.39400991945075,0
