Estacion seleccionada,PK / km,Potencia disponible (MW),No. cargadores,Coste,Metodo
C009,17.43,29.43,6,695.3665656646937,Exacto PuLP
C080,236.1,0.0,6,774.5684652990029,Exacto PuLP
C145,474.1,73.7,6,306.4317177350398,Exacto PuLP
C191,586.8,10.26,6,293.1620597354721,Exacto PuLP
C204,693.75,0.0,2,553.3121560927927,Exacto PuLP
C218,733.375,0.0,2,567.8169553863734,Exacto PuLP
C014,23.070000000000004,4.39,6,767.7459163645689,Heuristica voraz
C089,264.65,0.0,6,778.3273638939143,Heuristica voraz
C145,474.1,73.7,5,271.4317177350398,Heuristica voraz
C201,608.3,55.96,6,387.9925001406574,Heuristica voraz
C215,708.33,0.0,2,557.9389899114765,Heuristica voraz
C218,733.375,0.0,2,567.8169553863734,Heuristica voraz
